numero_pedido,cliente,direccion,latitud,longitud,peso_kg
SC471557,Carlos Sánchez,"Av. Santa Fe 1648, San Martín",-34.62752454591899,-58.43820083599506,75
SC252521,María Fernández,"Av. Corrientes 9923, Berazategui",-34.56052079430445,-58.48370207375156,59
SC414142,Ana García,"Av. Corrientes 3517, Vicente López",-34.51675610942043,-58.53930631351028,86
SC346029,Pedro Pérez,"Av. Independencia 1638, Tigre",-34.580793752838225,-58.488124344928615,58
SC891706,Laura Rodríguez,"Av. Rivadavia 3557, San Isidro",-34.519846818637305,-58.39888226106587,61
SC688783,Laura Rodríguez,"Av. Juan B. Justo 8612, Lomas de Zamora",-34.57181738874895,-58.36747645593212,87
SC535348,María Sánchez,"Av. Santa Fe 5210, Vicente López",-34.66254626044097,-58.5058472431241,85
SC258476,Ana Díaz,"Av. Independencia 9543, Vicente López",-34.681835295093954,-58.37775307073898,60
SC496153,Laura Sánchez,"Av. Belgrano 9046, Berazategui",-34.54014969164471,-58.35806345237411,56
SC221652,Diego Fernández,"Av. Rivadavia 5425, Morón",-34.54231306845802,-58.50479852183575,96
SC856768,Laura Fernández,"Av. Independencia 4725, San Isidro",-34.629959281116875,-58.466380391124225,53
SC510764,Laura Gómez,"Av. Independencia 8765, La Matanza",-34.682487171468324,-58.523925528508514,85
SC866735,Sofía Martínez,"Av. San Martín 3695, Tigre",-34.57606881416011,-58.54310667278221,70
SC293746,Laura Martínez,"Av. Santa Fe 6240, Tigre",-34.669949729621926,-58.45007045491505,73
SC885710,Luis Torres,"Av. Belgrano 4345, Tigre",-34.60656733894839,-58.41134785111302,84
SC724012,Pedro Fernández,"Av. Belgrano 9488, Vicente López",-34.6488504958903,-58.38744983477427,66
SC853197,Juan Torres,"Av. Santa Fe 7708, San Isidro",-34.681559371732305,-58.401583697106574,63
SC766183,Juan Martínez,"Av. Rivadavia 9363, La Matanza",-34.68240208984748,-58.4439340483644,61
SC461110,Pedro Sánchez,"Av. Libertador 2263, Avellaneda",-34.646324443889945,-58.38651211581013,51
SC764910,Pedro Pérez,"Av. Libertador 1275, San Isidro",-34.539523709488044,-58.508761076156915,92
SC353418,Carlos García,"Av. Independencia 475, Avellaneda",-34.60757938474447,-58.35733157561769,64
SC353581,Diego Sánchez,"Av. Independencia 547, Morón",-34.56322684145592,-58.35414831566723,68
SC816743,Sofía Pérez,"Av. Santa Fe 5977, La Matanza",-34.519616978645324,-58.4457351989544,54
SC813766,Diego García,"Av. San Martín 3117, La Matanza",-34.571389363129754,-58.434499244094596,55
SC540969,Pedro Díaz,"Av. Santa Fe 3717, San Isidro",-34.654802664892216,-58.502304570044856,54
SC412405,Pedro Sánchez,"Av. Corrientes 6930, Berazategui",-34.50659778402037,-58.41994206438014,98
SC712507,Sofía López,"Av. Cabildo 4621, La Matanza",-34.559232733591166,-58.462864977478546,91
SC109874,Laura Fernández,"Av. Santa Fe 3710, San Martín",-34.56079744730083,-58.53178992171936,68
SC889385,Ana Gómez,"Av. Independencia 1923, Quilmes",-34.671768203816136,-58.53040771638741,77
SC771453,Diego Díaz,"Av. San Martín 7761, Berazategui",-34.695942517537524,-58.45310034548529,71
SC225879,Diego Sánchez,"Av. Santa Fe 1156, Morón",-34.598239934228026,-58.53386944561163,53
SC698107,Ana Rodríguez,"Av. Cabildo 2513, Avellaneda",-34.52494206822803,-58.50742233851815,96
SC812609,Ana Pérez,"Av. La Plata 6714, La Matanza",-34.54589779782051,-58.402748364178066,59
SC662604,Ana Gómez,"Av. Independencia 3981, La Matanza",-34.557174729715555,-58.52575343592737,89
SC251187,Luis Martínez,"Av. Rivadavia 7957, Berazategui",-34.65423426533965,-58.38102316030956,99
SC433342,Valentina Pérez,"Av. Belgrano 191, Berazategui",-34.55545815109835,-58.42175112293381,98
SC647994,Pedro Torres,"Av. Corrientes 912, La Matanza",-34.500374924670865,-58.443138443429646,51
SC253488,Laura García,"Av. San Martín 6369, Tigre",-34.56732958822905,-58.45482327834552,84
SC753875,Luis Martínez,"Av. Corrientes 4285, Berazategui",-34.60590811450014,-58.47458734877459,64
SC205908,Diego Gómez,"Av. San Martín 4915, Quilmes",-34.69252575332866,-58.38895194894836,95
SC482806,Juan Fernández,"Av. Belgrano 2785, Tigre",-34.510851262642575,-58.4225379739918,86
SC700001,Luis Sánchez,"Av. Belgrano 6150, Morón",-34.59584963564577,-58.471635666434146,57
SC594245,Laura Pérez,"Av. Independencia 7846, San Isidro",-34.66628757635412,-58.532900358901244,98
SC329863,Ana López,"Av. Rivadavia 4806, Vicente López",-34.690807113168404,-58.418876559554015,53
SC146567,María García,"Av. La Plata 5132, Morón",-34.59333974374598,-58.389545044612206,68
SC521288,María Gómez,"Av. Libertador 5640, Berazategui",-34.66881477828607,-58.51131108976051,93
SC534035,Luis Gómez,"Av. Corrientes 8383, San Martín",-34.69563950741987,-58.48615440381391,95
SC924541,Pedro Rodríguez,"Av. Independencia 551, Avellaneda",-34.550265214870436,-58.385219507583635,74
SC611927,María Martínez,"Av. La Plata 4463, La Matanza",-34.646561387718144,-58.52056521194549,88
SC910713,Luis García,"Av. Independencia 7722, Vicente López",-34.598323287623366,-58.43789571407312,90
SC991160,Carlos López,"Av. Rivadavia 5581, La Matanza",-34.560286630400135,-58.43652120748038,91
SC191524,Pedro Gómez,"Av. Belgrano 6909, La Matanza",-34.55269375123817,-58.45569655279243,81
SC431584,Luis Fernández,"Av. Santa Fe 6535, San Isidro",-34.631151780267416,-58.52853767539265,83
SC866016,Carlos Fernández,"Av. Libertador 9643, Morón",-34.540239120293435,-58.35421366572473,87
SC432509,Ana Martínez,"Av. Rivadavia 7116, Lomas de Zamora",-34.508948602622425,-58.458197870420506,89
SC732104,Sofía Gómez,"Av. Belgrano 506, Morón",-34.6877156260558,-58.351324686010614,65
SC114904,Diego García,"Av. Cabildo 5761, Quilmes",-34.6814031700194,-58.52650009926273,72
SC966410,Diego López,"Av. Rivadavia 9358, Tigre",-34.622511522280654,-58.52375253136246,94
SC470970,Luis Torres,"Av. Libertador 1683, Tigre",-34.65564540923404,-58.466777368659756,74
SC646570,Pedro Fernández,"Av. La Plata 889, Lomas de Zamora",-34.546710928398646,-58.36364609035953,81
SC321124,Juan López,"Av. San Martín 6878, San Martín",-34.60060462536757,-58.38231049184325,78
SC988843,María Gómez,"Av. San Martín 8154, Berazategui",-34.58002656471401,-58.465575162670426,82
SC890261,Pedro Fernández,"Av. Independencia 7394, Tigre",-34.58410628018867,-58.46276201493272,75
SC200318,Luis Martínez,"Av. Belgrano 3269, Vicente López",-34.500096419012536,-58.45254116936538,71
SC408741,Juan López,"Av. Cabildo 2944, Vicente López",-34.598494374363625,-58.401058406812545,56
SC874261,Diego Gómez,"Av. La Plata 5071, Morón",-34.512079163812274,-58.44627900081456,98
SC333918,Ana García,"Av. Rivadavia 1173, Quilmes",-34.69711058866695,-58.37151027786359,59
SC692445,Ana Torres,"Av. Corrientes 8350, Avellaneda",-34.56562548578995,-58.428841966155495,81
SC119933,Luis Díaz,"Av. Belgrano 1333, Morón",-34.624915534834834,-58.51573858089141,62
SC583188,Juan Fernández,"Av. Belgrano 7535, San Isidro",-34.574248089112864,-58.35161820992761,98
SC392728,Ana Martínez,"Av. Cabildo 7900, La Matanza",-34.66220726392345,-58.457552199612394,63
SC507125,Laura Díaz,"Av. Rivadavia 3691, San Martín",-34.57787529996613,-58.52355449815177,84
SC643046,Valentina García,"Av. La Plata 902, Berazategui",-34.51692224761811,-58.53165655684268,62
SC112215,Luis Rodríguez,"Av. Juan B. Justo 122, Quilmes",-34.64870625800005,-58.395453512842316,92
SC674822,Pedro Fernández,"Av. San Martín 2175, Berazategui",-34.63769679738515,-58.40411260398675,99
SC773956,Valentina Torres,"Av. San Martín 1902, Morón",-34.537123712404416,-58.507058936717755,66
SC607188,Laura Fernández,"Av. Corrientes 8132, San Martín",-34.66963555799762,-58.52228444883864,76
SC505007,Pedro García,"Av. Libertador 7821, Quilmes",-34.55475255306002,-58.3579090884601,77
SC747516,Ana Rodríguez,"Av. Belgrano 7403, Avellaneda",-34.67123695581778,-58.37891293197096,57
SC369764,María Rodríguez,"Av. Libertador 630, Quilmes",-34.65975264695424,-58.52873484896498,72
SC591055,Diego Gómez,"Av. Corrientes 9797, San Martín",-34.690177148244885,-58.49672695753547,79
SC274054,Ana Rodríguez,"Av. Rivadavia 8700, Avellaneda",-34.63138294462348,-58.47227273302044,95
SC495793,Laura García,"Av. Juan B. Justo 5377, Morón",-34.59198616342415,-58.43732921576919,53
SC502036,Luis Pérez,"Av. Independencia 9082, San Isidro",-34.632830701080934,-58.41066457885209,58
SC798277,Carlos Fernández,"Av. Juan B. Justo 5118, Morón",-34.57279555726845,-58.35180342807127,61
SC824157,Ana Gómez,"Av. Cabildo 322, Quilmes",-34.57147012534167,-58.543116702621575,65
SC451276,Ana López,"Av. Cabildo 3664, Berazategui",-34.61637356685237,-58.54974827246599,85
SC723837,Sofía Sánchez,"Av. La Plata 4571, Morón",-34.597206393520416,-58.534768885373836,73
SC978497,Laura López,"Av. Corrientes 238, San Isidro",-34.59082533801146,-58.475786521794774,64
SC714556,Laura Sánchez,"Av. Santa Fe 6190, Quilmes",-34.585939681909394,-58.43321538913375,63
SC449172,Luis Fernández,"Av. Santa Fe 2977, Avellaneda",-34.67241074517389,-58.39040340686826,70
SC434417,Ana Torres,"Av. Juan B. Justo 1880, San Isidro",-34.5053651761681,-58.367407718451176,80
SC360647,Carlos Pérez,"Av. Juan B. Justo 7563, Avellaneda",-34.55432037612175,-58.50040799449283,98
SC226200,Carlos Díaz,"Av. Libertador 6744, Vicente López",-34.613218009926605,-58.52593047118411,67
SC519383,Valentina Díaz,"Av. Juan B. Justo 8917, La Matanza",-34.684951386905425,-58.470227540385274,95
SC589213,María Díaz,"Av. Libertador 444, San Isidro",-34.63990021574949,-58.40487295339679,95
SC177684,Pedro Gómez,"Av. La Plata 7337, Avellaneda",-34.6995668460073,-58.365766709784914,97
SC236835,Diego Fernández,"Av. Belgrano 7134, San Isidro",-34.52642053235226,-58.50119165475001,90
SC314386,Laura Pérez,"Av. Independencia 6754, Morón",-34.662524411284785,-58.541899684522946,77
SC887282,Pedro Rodríguez,"Av. Rivadavia 8256, San Martín",-34.54459491988517,-58.36609086577069,67
SC290805,Valentina García,"Av. Juan B. Justo 6516, Morón",-34.65430501534366,-58.50943425488297,58
SC620482,Ana Rodríguez,"Av. Independencia 663, Avellaneda",-34.550759672641355,-58.500089948765265,97
SC190914,Laura Sánchez,"Av. Independencia 5714, San Isidro",-34.696825794852685,-58.43134326876265,93
SC395028,Sofía García,"Av. Corrientes 8169, Berazategui",-34.52598006063386,-58.47817756338271,67
SC451396,Juan Díaz,"Av. Corrientes 430, San Isidro",-34.67605080058757,-58.51218248439308,52
SC232179,Sofía García,"Av. Rivadavia 4002, San Martín",-34.52052657150704,-58.36033164935272,96
SC610676,Pedro Pérez,"Av. Santa Fe 2720, Avellaneda",-34.523882591894555,-58.439737269416355,58
SC881034,Luis García,"Av. Independencia 3165, Morón",-34.63010935427836,-58.45708423012133,74
SC128239,Carlos Díaz,"Av. Corrientes 1367, Vicente López",-34.59873161290001,-58.54541666090635,59
SC941705,Carlos Fernández,"Av. Juan B. Justo 6848, San Martín",-34.659941040862044,-58.448999586351604,92
SC738636,Sofía García,"Av. Independencia 4397, Berazategui",-34.6459957320856,-58.495798999428175,93
SC985117,Laura Fernández,"Av. Corrientes 9757, La Matanza",-34.679043779701374,-58.40930246461798,87
SC361409,Laura López,"Av. Santa Fe 995, San Isidro",-34.62773394011449,-58.35319858186828,71
SC303806,Carlos Rodríguez,"Av. Belgrano 6090, Quilmes",-34.62199688915772,-58.54950515007879,97
SC913729,María Sánchez,"Av. Juan B. Justo 4055, Tigre",-34.56089206883173,-58.45691293870971,77
SC209231,Valentina Gómez,"Av. San Martín 5693, Berazategui",-34.61472397441337,-58.37522132270363,82
SC968992,Luis Gómez,"Av. Libertador 3698, Berazategui",-34.63106839003199,-58.410918766716705,77
SC892700,Pedro López,"Av. Cabildo 5922, Vicente López",-34.540734458930594,-58.42910521961373,86
SC678807,Carlos Martínez,"Av. La Plata 8453, San Martín",-34.652692835922245,-58.496672165923606,98
SC989573,Valentina Díaz,"Av. Belgrano 8600, San Isidro",-34.5434655695335,-58.40614484921844,69
SC192708,Laura Torres,"Av. Independencia 5012, Morón",-34.562151682259426,-58.43691459478843,71
SC930467,Juan García,"Av. San Martín 1708, Avellaneda",-34.61767397971133,-58.44840929817997,65
SC124203,Pedro García,"Av. Santa Fe 4473, San Martín",-34.551657607522046,-58.362165743813556,86
SC740103,Juan García,"Av. Santa Fe 3299, Tigre",-34.636561367686724,-58.420094017658855,75
SC309854,Juan Martínez,"Av. Corrientes 2623, Quilmes",-34.60722468177236,-58.511534013248436,99
SC563090,Ana Rodríguez,"Av. Rivadavia 8230, Tigre",-34.63279578613934,-58.41124072455074,52
SC375620,Diego Martínez,"Av. Libertador 7997, Lomas de Zamora",-34.57147372990675,-58.52982504387544,78
SC285408,Diego Martínez,"Av. Santa Fe 2066, Tigre",-34.520559773965,-58.51202459832341,74
SC218968,Pedro Sánchez,"Av. Corrientes 1397, Avellaneda",-34.631726601885006,-58.52565566459294,99
SC142381,Luis Sánchez,"Av. Santa Fe 1304, Lomas de Zamora",-34.64462529225177,-58.4077074763536,50
SC467126,Ana Gómez,"Av. San Martín 2241, San Martín",-34.65204752523441,-58.54541244945482,87
SC525845,Carlos Torres,"Av. Cabildo 8595, Quilmes",-34.52655539648798,-58.39396612541626,60
SC307337,Pedro Pérez,"Av. Corrientes 5305, San Martín",-34.68862293973729,-58.511559625386774,66
SC649841,Valentina Sánchez,"Av. Belgrano 2659, San Martín",-34.58779513332781,-58.50977697362633,85
SC895951,María Sánchez,"Av. La Plata 3609, Lomas de Zamora",-34.60180024245526,-58.49271039553187,67
SC627823,Carlos Martínez,"Av. San Martín 1423, Lomas de Zamora",-34.50188692149794,-58.51036385499623,86
SC394156,Luis López,"Av. Rivadavia 4985, Tigre",-34.54900286205134,-58.50459282055004,94
SC169103,Juan Sánchez,"Av. Santa Fe 6503, Vicente López",-34.6779724813164,-58.42361963735718,90
SC685960,Juan López,"Av. Cabildo 5954, Morón",-34.62821086008354,-58.534597248705325,66
SC550728,Laura Martínez,"Av. La Plata 2451, San Isidro",-34.55313585908349,-58.493623302428894,73
SC204066,Laura Rodríguez,"Av. Juan B. Justo 3676, Morón",-34.562765275704926,-58.508134692758084,89
SC633779,Valentina Díaz,"Av. Corrientes 6384, Morón",-34.665723892436176,-58.44164120453769,96
SC669438,Luis López,"Av. Corrientes 8226, Avellaneda",-34.52931169658633,-58.39376692773396,81
SC733057,Ana Martínez,"Av. Rivadavia 6933, La Matanza",-34.64929823425224,-58.417040598419256,99
SC627889,Ana Rodríguez,"Av. Santa Fe 2249, San Martín",-34.56494025015549,-58.544123909037246,68
SC631195,Laura Gómez,"Av. Corrientes 9118, La Matanza",-34.54912746126887,-58.435286319640284,79
SC259487,Ana López,"Av. Cabildo 1511, San Martín",-34.544911336685665,-58.456613160238874,87
SC972770,Carlos Martínez,"Av. Belgrano 9305, Quilmes",-34.50077956331119,-58.480960697111165,80
SC390064,Luis Fernández,"Av. Juan B. Justo 6400, Tigre",-34.54177107049872,-58.4666601081983,54
SC297589,Valentina Díaz,"Av. Santa Fe 4525, San Isidro",-34.58511449607124,-58.40555793374678,66
SC921560,Sofía López,"Av. Belgrano 6352, Tigre",-34.512503758262476,-58.5084245271861,68
SC801510,Diego Rodríguez,"Av. Belgrano 5060, Morón",-34.65338457981453,-58.53872545455413,70
SC403039,Carlos López,"Av. Santa Fe 4817, San Martín",-34.63902199748082,-58.50752500470073,60
SC713800,Laura Díaz,"Av. Cabildo 3156, Avellaneda",-34.5368049418319,-58.44419360026743,84
SC165032,Sofía Díaz,"Av. Independencia 7362, La Matanza",-34.644943028165684,-58.403694347743624,97
SC444858,Luis Pérez,"Av. Cabildo 7850, Berazategui",-34.60144695474249,-58.40288006041166,86
SC645210,Sofía Torres,"Av. La Plata 6022, Morón",-34.545585033337915,-58.525028103366,57
SC326720,Sofía Díaz,"Av. Independencia 6524, Vicente López",-34.6244213296125,-58.53507937243493,83
SC331794,Carlos Fernández,"Av. Santa Fe 2704, Vicente López",-34.58654741943695,-58.47194242289731,82
SC292674,Juan Díaz,"Av. Belgrano 6359, La Matanza",-34.50016184215843,-58.396036467527686,73
SC512665,Ana Sánchez,"Av. Juan B. Justo 4127, Quilmes",-34.614586131707014,-58.48781860014465,58
SC324412,Sofía Sánchez,"Av. Cabildo 5650, San Martín",-34.57478828880569,-58.360973509857814,75
SC682695,Sofía Gómez,"Av. Independencia 6220, La Matanza",-34.66854658859055,-58.35868988386483,63
SC282241,Laura López,"Av. San Martín 570, Avellaneda",-34.518704348484114,-58.435555982183665,98
SC668179,Pedro Fernández,"Av. Independencia 6509, Berazategui",-34.63156604349049,-58.53945363845461,100
SC132073,Pedro Rodríguez,"Av. Juan B. Justo 5291, Morón",-34.547763088294396,-58.35057237275417,82
SC151128,María Martínez,"Av. Independencia 1069, Berazategui",-34.67849256882155,-58.45286928946823,64
SC383622,Juan López,"Av. Rivadavia 9902, Tigre",-34.629254937791174,-58.52511978281591,94
SC976426,Diego López,"Av. Belgrano 7591, Tigre",-34.664160929671105,-58.46083270170295,83
SC826737,Pedro Pérez,"Av. Independencia 1145, Quilmes",-34.56769191707368,-58.37635695765787,53
SC201089,Luis Martínez,"Av. Independencia 320, Tigre",-34.510527726347355,-58.486655593964535,74
SC675247,Pedro Rodríguez,"Av. Rivadavia 9822, Vicente López",-34.67608170201724,-58.437870649222546,61
SC154352,María Torres,"Av. Rivadavia 4758, Morón",-34.68978717349339,-58.45401615904013,55
SC405395,Pedro Sánchez,"Av. Belgrano 6174, Berazategui",-34.550176744479664,-58.44555310839223,69
SC678705,Diego Sánchez,"Av. Belgrano 3409, Avellaneda",-34.59396473135219,-58.50275979743339,78
SC717567,Ana López,"Av. San Martín 267, Morón",-34.62933283412889,-58.362107736173215,94
SC783515,Carlos Martínez,"Av. Belgrano 5934, Tigre",-34.56949375575016,-58.3648365648352,74
SC978038,Ana Rodríguez,"Av. Libertador 2224, Tigre",-34.670733786200095,-58.47783958315628,69
SC759022,Pedro Martínez,"Av. Independencia 5704, Vicente López",-34.64316613698543,-58.49269515783778,60
SC704631,Carlos Rodríguez,"Av. Santa Fe 9053, Avellaneda",-34.51062367864281,-58.532528499710644,88
SC436130,Laura Rodríguez,"Av. Libertador 2019, La Matanza",-34.51273855612004,-58.438997329517846,93
SC415820,Diego García,"Av. Belgrano 5776, Berazategui",-34.52791365304861,-58.5409379841122,64
SC895675,Luis Gómez,"Av. Juan B. Justo 8395, Lomas de Zamora",-34.52494137037259,-58.494395503064084,85
SC908125,Pedro Rodríguez,"Av. Santa Fe 4306, Morón",-34.574456956747596,-58.38245015101598,99
SC352655,Diego Díaz,"Av. Libertador 6970, Tigre",-34.69449895167748,-58.45530776724515,78
SC769706,Laura Díaz,"Av. Santa Fe 2236, San Isidro",-34.69773470095749,-58.381200103702334,60
SC999527,Sofía Díaz,"Av. Cabildo 8624, Vicente López",-34.51396945588299,-58.38535686205101,72
SC391438,Valentina Martínez,"Av. La Plata 6870, Morón",-34.671917291067395,-58.537070364515166,83
SC168795,Sofía Rodríguez,"Av. San Martín 7823, San Isidro",-34.576894054706464,-58.422736038851006,94
SC830286,Laura Díaz,"Av. Corrientes 8482, Avellaneda",-34.6201861407034,-58.408762228211096,89
SC406363,Diego Pérez,"Av. Juan B. Justo 3087, San Martín",-34.673911726005144,-58.423323119026605,52
SC256356,Ana Díaz,"Av. Independencia 7660, Avellaneda",-34.62641454690473,-58.40208899224588,98
SC413437,María Torres,"Av. San Martín 9439, La Matanza",-34.59251483388808,-58.41751599176329,57
SC475103,Laura Pérez,"Av. Rivadavia 9123, Berazategui",-34.52269177450765,-58.350967134064526,60
SC829190,Diego García,"Av. Belgrano 8866, Berazategui",-34.599757619534714,-58.41315953362471,94
SC989883,Carlos Pérez,"Av. Libertador 6047, La Matanza",-34.58775706568016,-58.45837885797339,99
SC862265,Diego Díaz,"Av. Rivadavia 1801, Tigre",-34.572257638976325,-58.43464234985895,77
SC688236,Valentina Pérez,"Av. Independencia 4682, Vicente López",-34.62722534619677,-58.372075795315666,98
SC652814,Laura Gómez,"Av. Cabildo 5250, Tigre",-34.613327336596626,-58.50010086982755,67
SC732926,Valentina Díaz,"Av. Juan B. Justo 2334, Tigre",-34.610252705817814,-58.49822134928183,81
SC570290,Laura García,"Av. Juan B. Justo 3590, Berazategui",-34.69072502058299,-58.48010645431248,76
SC289645,Sofía Martínez,"Av. La Plata 6511, Vicente López",-34.69001867835091,-58.36350497574828,92
SC707425,Valentina López,"Av. Cabildo 8636, Tigre",-34.684391113055746,-58.42029646294832,60
SC587762,María Sánchez,"Av. Corrientes 985, Lomas de Zamora",-34.64311584772739,-58.38416979717356,85
SC822563,Sofía López,"Av. La Plata 8166, San Martín",-34.58252465599666,-58.36244717823119,59
SC900071,Pedro Gómez,"Av. Rivadavia 6424, La Matanza",-34.63167515438044,-58.412732353679864,62
SC963903,Sofía López,"Av. Independencia 8776, San Martín",-34.6185332497511,-58.548306697895015,91
SC223016,Juan García,"Av. San Martín 3341, Tigre",-34.61172568000451,-58.41722523308126,61
